0 0 0
1 415 8192
2 1633 8192
3 415 8192
4 1656 8192
5 3089 8192
6 2674 8192
7 5368 8192
8 7211 8192
9 7869 16384
10 10114 16384
11 13235 16384
12 13776 16384
13 16316 24576
14 18383 24576
15 20278 24576
16 21473 24576
17 18933 24576
18 16688 24576
19 17311 24576
20 16653 24576
21 17254 24576
22 15821 24576
23 15969 24576
24 18597 32768
25 18723 32768
26 16656 32768
27 16115 32768
28 14220 24576
29 13619 24576
30 13754 24576
31 13131 24576
32 16016 24576
33 15868 24576
34 16988 24576
35 17817 24576
36 16697 24576
37 14069 24576
38 14129 24576
39 14069 24576
40 17662 24576
41 14541 24576
42 14415 24576
43 10822 24576
44 7937 24576
45 7802 24576
46 5108 24576
47 6852 24576
48 9820 24576
49 8076 24576
50 10868 24576
51 9627 24576
52 7784 24576
53 6955 16384
54 9167 16384
55 7972 16384
56 5760 16384
57 2968 8192
58 4462 8192
59 1494 8192
60 0 0
