0 415
1 1633
2 415
3 1656
4 3089
5 2674
6 5368
7 7211
8 7869
9 10114
10 13235
11 13776
12 16316
13 18383
14 20278
15 21473
16 18933
17 16688
18 17311
19 16653
20 17254
21 15821
22 15969
23 18597
24 18723
25 16656
26 16115
27 14220
28 13619
29 13754
30 13131
31 16016
32 15868
33 16988
34 17817
35 16697
36 14069
37 14129
38 14069
39 17662
40 14541
41 14415
42 10822
43 7937
44 7802
45 5108
46 6852
47 9820
48 8076
49 10868
50 9627
51 7784
52 6955
53 9167
54 7972
55 5760
56 2968
57 4462
58 1494
59 0
